FID;Z_Normalized;BLUE_N;GREEN_N;RED_N;NIR_N
117;0,235294118;0,377224199;0,533980583;0,239277652;0,742233417
118;0,235294118;0,377224199;0,533980583;0,239277652;0,742233417
119;0,241830065;0,377224199;0,533980583;0,239277652;0,742233417
120;0,215686275;0,377224199;0,533980583;0,239277652;0,742233417
121;0,274509804;0,195729537;0,546116505;0,241534989;0,848866499
122;0,274509804;0,195729537;0,546116505;0,241534989;0,848866499
123;0,274509804;0,195729537;0,546116505;0,241534989;0,848866499
124;0,274509804;0,195729537;0,546116505;0,241534989;0,848866499
125;0,960784314;0,402135231;0,34223301;0,194130926;0,203190596
126;0,941176471;0,683274021;0,708737864;0,735891648;0,398824517
127;0,941176471;0,683274021;0,708737864;0,735891648;0,398824517
128;0,941176471;0,683274021;0,708737864;0,735891648;0,398824517
129;0,941176471;0,683274021;0,708737864;0,735891648;0,398824517
130;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
131;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
132;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
133;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
134;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
135;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
136;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
137;0,921568627;0,683274021;0,708737864;0,735891648;0,398824517
138;0,921568627;0,683274021;0,708737864;0,735891648;0,398824517
139;0,91503268;0,683274021;0,708737864;0,735891648;0,398824517
140;0,91503268;0,683274021;0,708737864;0,735891648;0,398824517
141;0,91503268;0,683274021;0,708737864;0,735891648;0,398824517
142;0,921568627;0,683274021;0,708737864;0,735891648;0,398824517
143;0,921568627;0,683274021;0,708737864;0,735891648;0,398824517
144;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
145;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
146;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
147;0,934640523;0,683274021;0,708737864;0,735891648;0,398824517
148;0,934640523;0,683274021;0,708737864;0,735891648;0,398824517
149;0,941176471;0,683274021;0,708737864;0,735891648;0,398824517
150;0,941176471;0,683274021;0,708737864;0,735891648;0,398824517
151;0,947712418;0,683274021;0,708737864;0,735891648;0,398824517
152;0,941176471;0,683274021;0,708737864;0,735891648;0,398824517
153;0,941176471;0,683274021;0,708737864;0,735891648;0,398824517
154;0,921568627;0,683274021;0,708737864;0,735891648;0,398824517
155;0,934640523;0,683274021;0,708737864;0,735891648;0,398824517
156;0,934640523;0,683274021;0,708737864;0,735891648;0,398824517
157;0,934640523;0,683274021;0,708737864;0,735891648;0,398824517
158;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
159;0,928104575;0,683274021;0,708737864;0,735891648;0,398824517
